,annotations,posts_in_topic,char_count,reply_count,reads,readers_count,incoming_link_count,quote_count,score
4812,0,6,15263.0,0,16,15,47,0,243.0
4813,0,6,668.0,0,12,11,2,0,12.2
4814,0,6,1551.0,0,11,10,0,0,2.0
4815,0,6,2914.0,0,9,8,1,0,1.6
4816,0,6,5.0,0,7,6,1,0,6.2
4817,0,6,4556.0,0,8,7,2,0,6.4
4818,5,17,3217.0,0,8,7,15,0,76.6
4819,2,17,502.0,1,7,6,0,0,6.4
4820,4,17,1482.0,0,5,4,2,0,11.0
4821,1,17,880.0,0,5,4,0,0,1.0
4822,2,17,519.0,1,5,4,0,0,6.0
4823,0,17,281.0,0,5,4,0,0,1.0
4824,0,17,304.0,0,4,3,0,0,0.8
4825,0,17,33.0,1,5,4,0,0,6.0
4826,1,17,106.0,0,4,3,0,0,0.8
4827,3,17,536.0,1,5,4,0,0,6.0
4828,1,17,173.0,0,5,4,0,0,1.0
4829,0,17,432.0,0,6,5,1,0,6.2
4830,0,17,2847.0,2,6,5,7,0,76.2
4831,0,17,1664.0,1,6,5,1,1,26.2
4832,0,17,157.0,1,6,5,1,0,11.2
4833,0,17,566.0,0,6,5,1,0,6.2
4834,0,17,668.0,0,5,4,1,0,36.0
4835,0,5,3560.0,0,14,13,56,0,282.8
4836,0,5,906.0,0,13,12,0,0,2.6
4837,0,5,1258.0,1,13,12,0,0,7.6
4838,0,5,4080.0,0,13,12,0,0,2.6
4839,0,5,332.0,0,3,2,1,0,5.6
4840,5,5,2051.0,0,7,6,40,0,216.4
4841,1,5,68.0,0,6,5,0,0,1.2
4842,3,5,2572.0,1,6,5,0,0,6.2
4843,0,5,288.0,0,5,4,0,0,1.0
4844,0,5,182.0,0,4,3,1,0,20.8
4845,4,6,2830.0,1,29,28,11,0,140.8
4846,0,6,204.0,0,21,20,0,0,4.2
4847,0,6,271.0,0,16,15,1,0,53.2
4848,3,6,1284.0,0,16,15,1,0,53.2
4849,0,6,734.0,0,15,14,1,0,53.0
4850,0,6,1101.0,0,7,6,1,1,36.4
4851,0,1,49646.0,0,6,5,18,0,211.2
4852,4,6,1474.0,0,12,11,1030,0,5152.4
4853,1,6,390.0,1,11,10,10,0,57.2
4854,2,6,767.0,1,11,10,4,0,42.2
4855,0,6,281.0,0,10,9,4,0,22.0
4856,1,6,619.0,0,10,9,4,0,22.0
4857,0,6,368.0,0,8,7,1,0,6.6
4858,1,3,611.0,1,5,4,1,0,11.0
4859,0,3,35.0,1,4,3,0,0,5.8
4860,0,3,66.0,0,4,3,1,0,5.8
4861,0,3,1440.0,0,14,13,51,0,392.8
4862,0,3,445.0,0,11,10,0,0,2.2
4863,0,3,10.0,0,7,6,1,0,21.4
4864,0,2,3649.0,0,5,4,4,0,21.0
4865,0,2,1590.0,0,4,3,0,0,0.8
4866,0,1,6995.0,0,6,5,19,0,96.2
4867,9,1,6676.0,0,14,13,14,0,72.8
4868,20,1,9429.0,0,22,21,17,0,149.4
4869,0,1,374.0,0,4,3,1,0,5.8
4870,0,3,6084.0,0,14,13,9,0,92.8
4871,0,3,222.0,0,4,3,1,0,5.8
4872,0,3,,0,4,3,6,0,30.8
4873,0,1,1053.0,0,17,16,12,0,65.4
4874,0,1,2779.0,0,5,4,13,0,66.0
4875,0,1,8607.0,0,5,4,8,0,41.0
4876,0,1,8623.0,0,11,10,52,0,262.2
4877,0,1,4244.0,0,11,10,8,0,42.2
4878,2,1,4187.0,0,10,9,7,0,37.0
4879,0,1,971.0,0,7,6,10,0,51.4
4880,0,1,1959.0,0,8,7,9,0,46.6
4881,0,1,4095.0,0,11,10,12,0,62.2
4882,0,1,3107.0,0,7,6,26,0,131.4
4883,1,1,3037.0,0,3,2,11,0,55.6
4884,6,1,1066.0,0,5,4,10,0,51.0
4885,12,1,3038.0,0,4,3,8,0,40.8
4886,0,1,13925.0,0,8,7,23,0,116.6
4887,0,1,7325.0,0,7,6,8,0,56.4
4888,0,1,3630.0,0,5,4,10,0,51.0
4889,0,1,8242.0,0,10,9,19,0,97.0
4890,0,1,7014.0,0,5,4,11,0,56.0
4891,0,1,1391.0,0,6,5,12,0,61.2
4892,5,1,2511.0,0,5,4,6,0,31.0
4893,0,1,4714.0,0,9,8,14,0,71.8
4894,31,3,12238.0,0,4,3,14,0,70.8
4895,2,3,441.0,1,3,2,0,0,5.6
4896,0,3,482.0,0,2,1,0,0,0.4
4897,0,15,2351.0,0,26,25,265,0,1435.2
4898,0,15,266.0,0,20,19,0,0,4.0
4899,0,15,112.0,0,15,14,0,0,3.0
4900,0,15,160.0,2,11,10,0,0,12.2
4901,0,15,162.0,1,11,10,0,0,52.2
4902,0,15,126.0,2,11,10,0,0,57.2
4903,0,15,47.0,0,11,10,1,0,7.2
4904,0,15,158.0,0,12,11,1,0,52.4
4905,0,15,121.0,1,12,11,1,0,12.4
4906,0,15,499.0,0,13,12,1,0,7.6
4907,0,15,895.0,0,13,12,0,0,2.6
4908,0,15,357.0,0,9,8,1,0,6.8
4909,0,15,540.0,0,9,8,1,0,6.8
4910,0,15,53.0,1,5,4,1,0,11.0
4911,0,15,135.0,0,5,4,1,0,6.0
4912,9,20,7945.0,0,24,23,62,0,359.8
4913,0,20,339.0,1,18,17,0,0,23.6
4914,0,20,815.0,1,16,15,0,0,8.2
4915,0,20,445.0,0,15,14,0,0,3.0
4916,4,20,1173.0,0,14,13,1,0,7.8
4917,7,20,1448.0,0,13,12,0,0,2.6
4918,2,20,1363.0,1,13,12,0,0,7.6
4919,0,20,454.0,0,10,9,0,0,2.0
4920,12,20,4045.0,0,11,10,0,0,2.2
4921,1,20,895.0,1,10,9,0,0,7.0
4922,0,20,1210.0,1,11,10,0,0,7.2
4923,0,20,610.0,1,10,9,0,0,7.0
4924,0,20,527.0,1,9,8,0,0,51.8
4925,0,20,87.0,1,10,9,0,0,7.0
4926,0,20,288.0,0,10,9,0,0,47.0
4927,0,20,225.0,0,9,8,0,0,46.8
4928,0,20,1006.0,2,11,10,1,0,32.2
4929,0,20,966.0,0,11,10,0,0,2.2
4930,0,20,6.0,0,8,7,1,0,21.6
4931,0,20,499.0,0,8,7,2,0,11.6
4932,0,18,258.0,1,37,36,11,0,262.4
4933,0,18,221.0,1,35,34,2,0,202.0
4934,0,18,132.0,0,18,17,2,0,28.6
4935,0,18,792.0,0,18,17,1,0,8.6
4936,0,18,5377.0,2,17,16,134,0,803.4
4937,0,18,274.0,0,14,13,1,0,7.8
4938,0,18,704.0,1,13,12,1,0,27.6
4939,0,18,230.0,0,12,11,1,0,7.4
4940,0,18,515.0,1,11,10,1,0,12.2
4941,0,18,5571.0,2,11,10,1,0,77.2
