,annotations,posts_in_topic,char_count,reply_count,reads,readers_count,incoming_link_count,quote_count,score,source_username,source_username
4812,0,6,15263.0,0,16,15,47,0,243.0,anon3579443982,anon3579443982
4813,0,6,668.0,0,12,11,2,0,12.2,anon360117346,anon360117346
4814,0,6,1551.0,0,11,10,0,0,2.0,anon5100568,anon5100568
4815,0,6,2914.0,0,9,8,1,0,1.6,anon125867087,anon125867087
4816,0,6,5.0,0,7,6,1,0,6.2,anon797389185,anon797389185
4817,0,6,4556.0,0,8,7,2,0,6.4,anon797389185,anon797389185
4818,5,17,3217.0,0,8,7,15,0,76.6,anon2975761471,anon2975761471
4819,2,17,502.0,1,7,6,0,0,6.4,anon360117346,anon360117346
4820,4,17,1482.0,0,5,4,2,0,11.0,anon2975761471,anon2975761471
4821,1,17,880.0,0,5,4,0,0,1.0,anon2975761471,anon2975761471
4822,2,17,519.0,1,5,4,0,0,6.0,anon2975761471,anon2975761471
4823,0,17,281.0,0,5,4,0,0,1.0,anon360117346,anon360117346
4824,0,17,304.0,0,4,3,0,0,0.8,anon2975761471,anon2975761471
4825,0,17,33.0,1,5,4,0,0,6.0,anon1615768681,anon1615768681
4826,1,17,106.0,0,4,3,0,0,0.8,anon2975761471,anon2975761471
4827,3,17,536.0,1,5,4,0,0,6.0,anon3907282313,anon3907282313
4828,1,17,173.0,0,5,4,0,0,1.0,anon2975761471,anon2975761471
4829,0,17,432.0,0,6,5,1,0,6.2,anon4045870755,anon4045870755
4830,0,17,2847.0,2,6,5,7,0,76.2,anon2975761471,anon2975761471
4831,0,17,1664.0,1,6,5,1,1,26.2,anon4045870755,anon4045870755
4832,0,17,157.0,1,6,5,1,0,11.2,anon4045870755,anon4045870755
4833,0,17,566.0,0,6,5,1,0,6.2,anon2975761471,anon2975761471
4834,0,17,668.0,0,5,4,1,0,36.0,anon2975761471,anon2975761471
4835,0,5,3560.0,0,14,13,56,0,282.8,anon147599227,anon147599227
4836,0,5,906.0,0,13,12,0,0,2.6,anon360117346,anon360117346
4837,0,5,1258.0,1,13,12,0,0,7.6,anon797389185,anon797389185
4838,0,5,4080.0,0,13,12,0,0,2.6,anon147599227,anon147599227
4839,0,5,332.0,0,3,2,1,0,5.6,anon4045870755,anon4045870755
4840,5,5,2051.0,0,7,6,40,0,216.4,anon1710601338,anon1710601338
4841,1,5,68.0,0,6,5,0,0,1.2,anon797389185,anon797389185
4842,3,5,2572.0,1,6,5,0,0,6.2,anon241219415,anon241219415
4843,0,5,288.0,0,5,4,0,0,1.0,anon3579443982,anon3579443982
4844,0,5,182.0,0,4,3,1,0,20.8,anon4045870755,anon4045870755
4845,4,6,2830.0,1,29,28,11,0,140.8,anon1807425500,anon1807425500
4846,0,6,204.0,0,21,20,0,0,4.2,anon125867087,anon125867087
4847,0,6,271.0,0,16,15,1,0,53.2,anon931447554,anon931447554
4848,3,6,1284.0,0,16,15,1,0,53.2,anon2302785458,anon2302785458
4849,0,6,734.0,0,15,14,1,0,53.0,anon145376496,anon145376496
4850,0,6,1101.0,0,7,6,1,1,36.4,anon4045870755,anon4045870755
4851,0,1,49646.0,0,6,5,18,0,211.2,anon3719516189,anon3719516189
4852,4,6,1474.0,0,12,11,1030,0,5152.4,anon2002870540,anon2002870540
4853,1,6,390.0,1,11,10,10,0,57.2,anon360117346,anon360117346
4854,2,6,767.0,1,11,10,4,0,42.2,anon2002870540,anon2002870540
4855,0,6,281.0,0,10,9,4,0,22.0,anon360117346,anon360117346
4856,1,6,619.0,0,10,9,4,0,22.0,anon241219415,anon241219415
4857,0,6,368.0,0,8,7,1,0,6.6,anon191180418,anon191180418
4858,1,3,611.0,1,5,4,1,0,11.0,anon360117346,anon360117346
4859,0,3,35.0,1,4,3,0,0,5.8,anon360117346,anon360117346
4860,0,3,66.0,0,4,3,1,0,5.8,anon797389185,anon797389185
4861,0,3,1440.0,0,14,13,51,0,392.8,anon2313416568,anon2313416568
4862,0,3,445.0,0,11,10,0,0,2.2,anon360117346,anon360117346
4863,0,3,10.0,0,7,6,1,0,21.4,anon360117346,anon360117346
4864,0,2,3649.0,0,5,4,4,0,21.0,anon360117346,anon360117346
4865,0,2,1590.0,0,4,3,0,0,0.8,anon3435545976,anon3435545976
4866,0,1,6995.0,0,6,5,19,0,96.2,anon797389185,anon797389185
4867,9,1,6676.0,0,14,13,14,0,72.8,anon3585693540,anon3585693540
4868,20,1,9429.0,0,22,21,17,0,149.4,anon3585693540,anon3585693540
4869,0,1,374.0,0,4,3,1,0,5.8,anon550362256,anon550362256
4870,0,3,6084.0,0,14,13,9,0,92.8,anon3585693540,anon3585693540
4871,0,3,222.0,0,4,3,1,0,5.8,anon360117346,anon360117346
4872,0,3,,0,4,3,6,0,30.8,anon360117346,anon360117346
4873,0,1,1053.0,0,17,16,12,0,65.4,,
4874,0,1,2779.0,0,5,4,13,0,66.0,anon797389185,anon797389185
4875,0,1,8607.0,0,5,4,8,0,41.0,anon797389185,anon797389185
4876,0,1,8623.0,0,11,10,52,0,262.2,anon797389185,anon797389185
4877,0,1,4244.0,0,11,10,8,0,42.2,anon2302785458,anon2302785458
4878,2,1,4187.0,0,10,9,7,0,37.0,anon2833704143,anon2833704143
4879,0,1,971.0,0,7,6,10,0,51.4,anon360117346,anon360117346
4880,0,1,1959.0,0,8,7,9,0,46.6,anon360117346,anon360117346
4881,0,1,4095.0,0,11,10,12,0,62.2,anon360117346,anon360117346
4882,0,1,3107.0,0,7,6,26,0,131.4,anon360117346,anon360117346
4883,1,1,3037.0,0,3,2,11,0,55.6,anon797389185,anon797389185
4884,6,1,1066.0,0,5,4,10,0,51.0,anon125867087,anon125867087
4885,12,1,3038.0,0,4,3,8,0,40.8,anon241219415,anon241219415
4886,0,1,13925.0,0,8,7,23,0,116.6,anon797389185,anon797389185
4887,0,1,7325.0,0,7,6,8,0,56.4,anon797389185,anon797389185
4888,0,1,3630.0,0,5,4,10,0,51.0,anon797389185,anon797389185
4889,0,1,8242.0,0,10,9,19,0,97.0,anon797389185,anon797389185
4890,0,1,7014.0,0,5,4,11,0,56.0,anon797389185,anon797389185
4891,0,1,1391.0,0,6,5,12,0,61.2,anon797389185,anon797389185
4892,5,1,2511.0,0,5,4,6,0,31.0,anon241219415,anon241219415
4893,0,1,4714.0,0,9,8,14,0,71.8,anon1648820241,anon1648820241
4894,31,3,12238.0,0,4,3,14,0,70.8,anon797389185,anon797389185
4895,2,3,441.0,1,3,2,0,0,5.6,anon360117346,anon360117346
4896,0,3,482.0,0,2,1,0,0,0.4,anon797389185,anon797389185
4897,0,15,2351.0,0,26,25,265,0,1435.2,anon2302785458,anon2302785458
4898,0,15,266.0,0,20,19,0,0,4.0,anon360117346,anon360117346
4899,0,15,112.0,0,15,14,0,0,3.0,anon241219415,anon241219415
4900,0,15,160.0,2,11,10,0,0,12.2,anon848149982,anon848149982
4901,0,15,162.0,1,11,10,0,0,52.2,anon241219415,anon241219415
4902,0,15,126.0,2,11,10,0,0,57.2,anon2432710288,anon2432710288
4903,0,15,47.0,0,11,10,1,0,7.2,anon848149982,anon848149982
4904,0,15,158.0,0,12,11,1,0,52.4,anon848149982,anon848149982
4905,0,15,121.0,1,12,11,1,0,12.4,anon360117346,anon360117346
4906,0,15,499.0,0,13,12,1,0,7.6,anon2432710288,anon2432710288
4907,0,15,895.0,0,13,12,0,0,2.6,anon1042140873,anon1042140873
4908,0,15,357.0,0,9,8,1,0,6.8,anon4196090195,anon4196090195
4909,0,15,540.0,0,9,8,1,0,6.8,anon4196090195,anon4196090195
4910,0,15,53.0,1,5,4,1,0,11.0,anon848149982,anon848149982
4911,0,15,135.0,0,5,4,1,0,6.0,anon241219415,anon241219415
4912,9,20,7945.0,0,24,23,62,0,359.8,anon2345861335,anon2345861335
4913,0,20,339.0,1,18,17,0,0,23.6,anon360117346,anon360117346
4914,0,20,815.0,1,16,15,0,0,8.2,anon2345861335,anon2345861335
4915,0,20,445.0,0,15,14,0,0,3.0,anon360117346,anon360117346
