id,version,text,quote,uri,created_at,updated_at,post_id,creator_id,type,shape,units,geometry,src,ext,container,start,end,topic_id,post_creator_id,code_id
28670,v1.0,,"For example the GDPR. A few years ago before it actually entered into force, I knew it would most likely be more challenging to be GDPR compliant for small organization than for the large ones. So, despite the declared goal being “we are going to rule how Google and Facebook access your data,” we already knew this was going to hinder small organization’s activities, and actually a treasure trove for the big ones. And what happened if we look at the reviews, two years later, three years later, that's exactly what happened.",/post/61024,2021-02-12T18:00:25.766Z,2021-02-12T18:00:25.766Z,61024,5479,AnnotatorStore::TextAnnotation,,pixel,,,,,,,11075,854,424
28669,v1.0,,"The problem lies not in the idea that we want to have policies to regulate issues, the problem is how we do them. And the same happens for standards. Most of the standards are imposed after de facto companies who ruled the market have agreed about it on the phone. I've hardly ever seen any standard being imposed before the large companies were already ready for them.",/post/61024,2021-02-12T17:59:40.465Z,2021-02-12T17:59:40.465Z,61024,5479,AnnotatorStore::TextAnnotation,,pixel,,,,,,,11075,854,8235
28668,v1.0,,"There is a lot that could be improved about how Europe works. And this is not the nature of policymaking, this is how policymaking is implemented in Europe. That's a problem. It's a systematic problem, but not a principal problem. It's really systematic of the system. The problem lies not in the idea that we want to have policies to regulate issues, the problem is how we do them. And the same happens for standards. Most of the standards are imposed after de facto companies who ruled the market have agreed about it on the phone. I've hardly ever seen any standard being imposed before the large companies were already ready for them.We are allowing it.",/post/61024,2021-02-12T17:59:15.797Z,2021-02-12T17:59:15.797Z,61024,5479,AnnotatorStore::TextAnnotation,,pixel,,,,,,,11075,854,8234
28255,v1.0,,"Of course they still need to get distributed globally, too. Next up would be spot tests for antibodies, and this would change things significanty.Continuing in our wider discussion, Ross Anderson does a great write up of the UK situation, from technical to legal here: https://www.lightbluetouchpaper.org/2020/04/12/contact-tracing-in-the-real-world/
    
  
  
    
    Edit
    Delete
  
No Commentresource distribution
  
    
    Edit
    Delete
  
No Commentsupply chain

  
    
            
            
            
                COVID-19
            
        
            
            
                rapid testing
            
        
        
    
      Cancel
Save
    
  
Annotate",/post/74235,2021-01-28T17:26:01.518Z,2021-01-28T17:26:01.518Z,74235,3323,AnnotatorStore::TextAnnotation,,pixel,,,,,,,13183,3180,5156
28254,v1.0,,"Of course they still need to get distributed globally, too. Next up would be spot tests for antibodies, and this would change things significanty.Continuing in our wider discussion, Ross Anderson does a great write up of the UK situation, from technical to legal here: https://www.lightbluetouchpaper.org/2020/04/12/contact-tracing-in-the-real-world/
    
  
  
    
    Edit
    Delete
  
No Commentresource distribution
  
    
    Edit
    Delete
  
No Commentsupply chain

  
    
            
            
            
                COVID-19
            
        
            
            
                rapid testing
            
        
        
    
      Cancel
Save
    
  
Annotate",/post/74235,2021-01-28T17:26:01.502Z,2021-01-28T17:26:01.502Z,74235,3323,AnnotatorStore::TextAnnotation,,pixel,,,,,,,13183,3180,8166
28253,v1.0,,"Of course they still need to get distributed globally, too. Next up would be spot tests for antibodies, and this would change things significanty.Continuing in our wider discussion, Ross Anderson does a great write up of the UK situation, from technical to legal here: https://www.lightbluetouchpaper.org/2020/04/12/contact-tracing-in-the-real-world/
    
  

  
    
            
            
            
                supply chain
            
        
            
            
                resource distribution
            
        
        
    
      Cancel
Save
    
  
Annotate",/post/74235,2021-01-28T17:25:51.677Z,2021-01-28T17:25:51.677Z,74235,3323,AnnotatorStore::TextAnnotation,,pixel,,,,,,,13183,3180,7174
28252,v1.0,,"Of course they still need to get distributed globally, too. Next up would be spot tests for antibodies, and this would change things significanty.Continuing in our wider discussion, Ross Anderson does a great write up of the UK situation, from technical to legal here: https://www.lightbluetouchpaper.org/2020/04/12/contact-tracing-in-the-real-world/
    
  

  
    
            
            
            
                supply chain
            
        
            
            
                resource distribution
            
        
        
    
      Cancel
Save
    
  
Annotate",/post/74235,2021-01-28T17:25:51.658Z,2021-01-28T17:25:51.658Z,74235,3323,AnnotatorStore::TextAnnotation,,pixel,,,,,,,13183,3180,2899
28251,v1.0,,"Technology must not necessarily be digital. We need more spaces for community activities in our built environment. Structures that enable being together. I think we need face to face interaction in order to stay well. There is no resilience without exchange. Especially digital technology starts to change our behavior in a strange way. Technology must step in the background again and not dominate our experience.
    
  

  
    
            
            
            
                non-technological solution
            
        
            
            
                public space
            
        
            
            
                shared space
            
        
            
            
                community building
            
        
            
            
                face-to-face
            
        
            
            
                resilience
            
        
            
            
                sharing resources
            
        
            
            
                sharing knowledge
            
        
            
            
                behaviour change
            
        
            
            
                abusing technology
            
        
            
            
                excessive technology
            
        
        
    
      Cancel
Save
    
  
Annotate",/post/74229,2021-01-28T17:25:30.695Z,2021-01-28T17:25:30.695Z,74229,3323,AnnotatorStore::TextAnnotation,,pixel,,,,,,,13183,1520,8167
28250,v1.0,,"Technology must not necessarily be digital. We need more spaces for community activities in our built environment. Structures that enable being together. I think we need face to face interaction in order to stay well. There is no resilience without exchange. Especially digital technology starts to change our behavior in a strange way. Technology must step in the background again and not dominate our experience.
    
  

  
    
            
            
            
                non-technological solution
            
        
            
            
                public space
            
        
            
            
                shared space
            
        
            
            
                community building
            
        
            
            
                face-to-face
            
        
            
            
                resilience
            
        
            
            
                sharing resources
            
        
            
            
                sharing knowledge
            
        
            
            
                behaviour change
            
        
            
            
                abusing technology
            
        
            
            
                excessive technology
            
        
        
    
      Cancel
Save
    
  
Annotate",/post/74229,2021-01-28T17:25:30.624Z,2021-01-28T17:25:30.624Z,74229,3323,AnnotatorStore::TextAnnotation,,pixel,,,,,,,13183,1520,8109
28249,v1.0,,"Technology must not necessarily be digital. We need more spaces for community activities in our built environment. Structures that enable being together. I think we need face to face interaction in order to stay well. There is no resilience without exchange. Especially digital technology starts to change our behavior in a strange way. Technology must step in the background again and not dominate our experience.
    
  

  
    
            
            
            
                non-technological solution
            
        
            
            
                public space
            
        
            
            
                shared space
            
        
            
            
                community building
            
        
            
            
                face-to-face
            
        
            
            
                resilience
            
        
            
            
                sharing resources
            
        
            
            
                sharing knowledge
            
        
            
            
                behaviour change
            
        
            
            
                abusing technology
            
        
            
            
                excessive technology
            
        
        
    
      Cancel
Save
    
  
Annotate",/post/74229,2021-01-28T17:25:30.621Z,2021-01-28T17:25:30.621Z,74229,3323,AnnotatorStore::TextAnnotation,,pixel,,,,,,,13183,1520,7815
