id,description,creator_id,created_at,updated_at,ancestry,annotations_count,name,name_with_path,names
424,,1974,2017-09-05T16:09:54.149Z,2020-03-30T16:17:03.118Z,,8,corporation,corporation,"[{'name': 'corporation', 'locale': 'en'}]"
8235,,5479,2021-02-12T17:59:40.372Z,2021-02-12T17:59:40.372Z,,1,articulating the problem,articulating the problem,"[{'name': 'articulating the problem', 'locale': 'en'}]"
8234,,5479,2021-02-12T17:59:15.714Z,2021-02-12T17:59:15.714Z,,1,policy implementation,policy implementation,"[{'name': 'policy implementation', 'locale': 'en'}]"
5156,code that I am using to refer to coronavirus -- we will need to standardise this,3323,2020-05-12T09:25:25.869Z,2020-08-22T13:00:57.248Z,,91,COVID-19,COVID-19,"[{'name': 'COVID-19', 'locale': 'en'}, {'name': 'COVID-19', 'locale': 'pl'}, {'name': 'COVID-19', 'locale': 'cs'}]"
8166,"for disease, a test that gives a result quickly (usually within an hour) ",3323,2021-01-28T17:23:48.628Z,2021-01-28T17:41:30.887Z,,2,rapid testing,rapid testing,"[{'name': 'rapid testing', 'locale': 'en'}]"
7174,allocation of funds or goods across people who need them,3323,2020-09-01T09:11:00.174Z,2020-09-01T12:12:14.594Z,,5,resource distribution,resource distribution,"[{'name': 'resource distribution', 'locale': 'en'}, {'name': 'dystrybucja zasobów', 'locale': 'pl'}, {'name': 'rozdělení zdrojů', 'locale': 'cs'}]"
2899,,4155,2018-05-21T15:46:06.336Z,2020-03-30T16:21:07.595Z,,9,supply chain,supply chain,"[{'name': 'supply chain', 'locale': 'en'}]"
8167,"too much technology, whether for a particular situation or in our lives in general ",3323,2021-01-28T17:25:30.621Z,2021-01-28T17:41:16.560Z,,1,*excessive technology,*excessive technology,"[{'name': '*excessive technology', 'locale': 'en'}]"
8109,,3323,2021-01-28T16:45:31.538Z,2021-01-28T16:45:31.538Z,,2,abusing technology,abusing technology,"[{'name': 'abusing technology', 'locale': 'en'}]"
7815,a solution to a problem that does not involve the use of technology (e.g. automatic doors that can also be opened manually). ,3323,2020-10-19T11:53:16.007Z,2020-10-19T12:05:00.925Z,,5,non-technological solution,non-technological solution,"[{'name': 'non-technological solution', 'locale': 'en'}]"
7626,"when someone or a group alters the way they act, usually in response to some kind of stimulus",3323,2020-09-23T16:18:49.579Z,2020-09-24T14:08:49.717Z,,9,behaviour change,behaviour change,"[{'name': 'behaviour change', 'locale': 'en'}]"
2963,,4155,2018-06-01T22:07:23.140Z,2020-10-22T23:59:15.417Z,,15,sharing resources,sharing resources,"[{'name': 'sharing resources', 'locale': 'en'}, {'name': 'dzielenie się zasobami', 'locale': 'pl'}, {'name': 'sdílet zdroje', 'locale': 'cs'}]"
1540,,1974,2017-09-05T16:09:57.930Z,2020-10-22T23:58:57.868Z,,108,sharing knowledge,sharing knowledge,"[{'name': 'sharing knowledge', 'locale': 'en'}, {'name': 'dzielenie się wiedzą', 'locale': 'pl'}, {'name': 'sdílet znalosti', 'locale': 'cs'}]"
1446,,1974,2017-09-05T16:09:57.598Z,2020-10-22T01:33:42.815Z,,55,resilience,resilience,"[{'name': 'resilience', 'locale': 'en'}, {'name': 'odporność', 'locale': 'pl'}, {'name': 'odolnost', 'locale': 'cs'}]"
816,physical contact,3323,2017-09-05T16:09:55.409Z,2020-09-21T14:00:48.061Z,,2,face-to-face,face-to-face,"[{'name': 'face-to-face', 'locale': 'en'}]"
358,,3323,2017-09-05T16:09:53.940Z,2020-03-30T16:16:59.942Z,,61,community building,community building,"[{'name': 'community building', 'locale': 'en'}]"
1532,,3323,2017-09-05T16:09:57.903Z,2020-03-30T16:18:28.964Z,,30,shared space,shared space,"[{'name': 'shared space', 'locale': 'en'}]"
1395,"opposite of private space, space that anyone can go in to freely",3323,2017-09-05T16:09:57.408Z,2020-08-22T12:57:12.477Z,,40,public space,public space,"[{'name': 'public space', 'locale': 'en'}, {'name': 'przestrzeń publiczna', 'locale': 'pl'}, {'name': 'veřejný prostor', 'locale': 'cs'}]"
6172,"In public health, refers to the process of identifying persons who have come in contact with an infected person",5479,2020-07-27T10:21:31.624Z,2020-09-17T13:55:38.873Z,5156,36,contact tracing,COVID-19 → contact tracing,"[{'name': 'contact tracing', 'locale': 'en'}, {'name': 'ustalanie kontaktów zakaźnych', 'locale': 'pl'}, {'name': 'trasování kontaktů', 'locale': 'cs'}]"
8165,"A distributed ledger (also called a shared ledger or distributed ledger technology or DLT) is a consensus of replicated, shared, and synchronized digital data geographically spread across multiple sites, countries, or institutions. Unlike with a distributed database, there is no central administrator.",3323,2021-01-28T17:23:30.844Z,2021-01-28T17:42:03.316Z,,1,distributed ledger technology,distributed ledger technology,"[{'name': 'distributed ledger technology', 'locale': 'en'}]"
8164,"invivo, organisations that are not dependent on the government or other institutions ",3323,2021-01-28T17:23:30.814Z,2021-01-28T17:42:32.617Z,,1,"""autonomous organisations""","""autonomous organisations""","[{'name': '""autonomous organisations""', 'locale': 'en'}]"
8153,"rather than creating new practices or technologies, building up the capacity of those already working on a problem or in a field",3323,2021-01-28T17:04:36.068Z,2021-01-28T18:02:30.465Z,,2,supporting existing practices,supporting existing practices,"[{'name': 'supporting existing practices', 'locale': 'en'}]"
4056,having to make choices,3323,2019-10-02T12:09:46.514Z,2020-08-22T12:56:50.288Z,,27,decision-making,decision-making,"[{'name': 'decision-making', 'locale': 'en'}, {'name': 'podejmowanie decyzji', 'locale': 'pl'}, {'name': 'rozhodování', 'locale': 'cs'}]"
80,,3323,2017-09-05T16:09:53.084Z,2020-03-30T16:16:43.333Z,,60,autonomy,autonomy,"[{'name': 'autonomy', 'locale': 'en'}]"
7805,"rather than building something new, being able to see when people are already doing something useful that could be recognised and supported",3323,2020-10-19T11:45:11.580Z,2020-10-19T12:02:15.588Z,,5,recognising existing capabilities,recognising existing capabilities,"[{'name': 'recognising existing capabilities', 'locale': 'en'}]"
1539,,3323,2017-09-05T16:09:57.927Z,2020-03-30T16:18:29.311Z,,18,sharing information,sharing information,"[{'name': 'sharing information', 'locale': 'en'}]"
8160,"expanding who engages in something, gives feedback, is a part of creation",3323,2021-01-28T17:07:05.270Z,2021-01-28T17:43:56.457Z,,2,widening participation,widening participation,"[{'name': 'widening participation', 'locale': 'en'}]"
1662,when someone comes up with a technological solution to a problem,3323,2017-09-05T16:09:58.361Z,2020-09-23T12:29:37.928Z,,38,technological solution,technological solution,"[{'name': 'technological solution', 'locale': 'en'}]"
6134,Describing the notion that the Coronavirus has created new set of norms for public and private life,5479,2020-07-25T12:28:10.201Z,2021-01-19T15:21:04.902Z,,11,'new normal','new normal',"[{'name': ""'new normal'"", 'locale': 'en'}, {'name': ""'nowa normalność'"", 'locale': 'pl'}, {'name': ""'nová normalita'"", 'locale': 'cs'}]"
1263,identifying/converting something as an opportunity ,3323,2017-09-05T16:09:56.952Z,2020-09-24T13:46:46.225Z,,9,seeing new opportunities,seeing new opportunities,"[{'name': 'seeing new opportunities', 'locale': 'en'}]"
828,"feeling afraid
*is it meaningfully different from anxiety?",3323,2017-09-05T16:09:55.449Z,2021-02-21T14:11:51.273Z,5161/54,51,*fear,*emotions → anxiety → *fear,"[{'name': 'lęk', 'locale': 'pl'}, {'name': 'strach', 'locale': 'cs'}, {'name': '*fear', 'locale': 'en'}]"
7986,things and actions that manage other people's behaviour ('control' in the vertical sense),5479,2020-11-24T16:59:31.283Z,2020-11-24T17:01:02.079Z,,5,controlling behaviour,controlling behaviour,"[{'name': 'controlling behaviour', 'locale': 'en'}]"
8163,"necessity of doing something quickly, moving fast",3323,2021-01-28T17:08:37.526Z,2021-01-28T17:42:43.851Z,,1,need for speed,need for speed,"[{'name': 'need for speed', 'locale': 'en'}]"
7949,situating a phenomenon in its historical context to better understand it in the present,5479,2020-11-09T12:05:41.024Z,2020-11-09T12:19:24.213Z,,6,understanding history,understanding history,"[{'name': 'understanding history', 'locale': 'en'}]"
7325,"deciding how to attribute value to something, what it's worth ",3323,2020-09-03T10:07:40.107Z,2020-09-03T11:01:45.724Z,,16,assigning value,assigning value,"[{'name': 'assigning value', 'locale': 'en'}]"
7286,,3323,2020-09-03T09:33:54.584Z,2020-09-03T09:33:54.584Z,,3,history of technology,history of technology,"[{'name': 'history of technology', 'locale': 'en'}]"
5891,when one (usually desirable) thing has to be diminished for another (also desirable) thing to be increased,5479,2020-07-09T11:24:54.414Z,2020-10-02T15:56:04.311Z,,23,trade-off,trade-off,"[{'name': 'trade-off', 'locale': 'en'}, {'name': 'coś za coś', 'locale': 'pl'}, {'name': 'směna / něco za něco', 'locale': 'cs'}]"
4781,Processes and other evaluative measures taken to assess the impact of an action ,5209,2020-01-24T02:49:16.708Z,2020-09-07T14:25:08.218Z,,16,assessing impact,assessing impact,"[{'name': 'assessing impact', 'locale': 'en'}]"
7472,the rush to deploy/implement tech first before considering relevance or consequences,5059,2020-09-11T13:50:56.587Z,2020-09-23T12:58:17.853Z,,26,'the rush to deploy','the rush to deploy',"[{'name': ""'the rush to deploy'"", 'locale': 'en'}]"
8162,"a rule or principle which is unfairly applied in different ways to different people or groups.
",3323,2021-01-28T17:07:30.491Z,2021-01-28T17:42:56.881Z,,1,double standard,double standard,"[{'name': 'double standard', 'locale': 'en'}]"
7313,,3323,2020-09-03T09:52:45.323Z,2020-09-03T09:52:45.323Z,,19,nuancing the debate,nuancing the debate,"[{'name': 'nuancing the debate', 'locale': 'en'}]"
8161,"someone who uses their technical knowledge to achieve a goal or overcome an obstacle, making a creative solution to a problem. usually outside of existing systems or structures, often illegal",3323,2021-01-28T17:07:30.326Z,2021-01-28T17:43:40.230Z,,1,hacking,hacking,"[{'name': 'hacking', 'locale': 'en'}]"
8159,"discussing decisions in a place where everyone can see it, usually applied to governance",3323,2021-01-28T17:06:54.975Z,2021-01-28T17:44:15.551Z,,1,open deliberation,open deliberation,"[{'name': 'open deliberation', 'locale': 'en'}]"
5847,"the capacity to accept or tolerate delay, problems, or suffering without becoming annoyed or anxious",6484,2020-07-07T10:29:43.103Z,2020-08-22T13:08:09.195Z,,3,patience,patience,"[{'name': 'patience', 'locale': 'en'}, {'name': 'cierpliwość', 'locale': 'pl'}, {'name': 'trpělivost', 'locale': 'cs'}]"
1256,,3323,2017-09-05T16:09:56.923Z,2020-03-30T16:18:14.531Z,,23,open processes,open processes,"[{'name': 'open processes', 'locale': 'en'}]"
1483,,3323,2017-09-05T16:09:57.728Z,2020-03-30T16:18:26.502Z,,35,safety,safety,"[{'name': 'safety', 'locale': 'en'}]"
1074,,3323,2017-09-05T16:09:56.265Z,2020-03-30T16:18:04.320Z,,68,legality,legality,"[{'name': 'legality', 'locale': 'en'}]"
8158,"Intellectual property (IP) is a category of property that includes intangible creations. The most well-known types are copyrights, patents, trademarks, and trade secrets -- used to guard from other people 'stealing' or copying them, to delineate legal ownership
",3323,2021-01-28T17:06:04.294Z,2021-01-28T17:45:15.336Z,,1,intellectual property (IP),intellectual property (IP),"[{'name': 'intellectual property (IP)', 'locale': 'en'}]"
1257,software/platform whose source is made available for modification by users,3323,2017-09-05T16:09:56.926Z,2020-08-22T13:07:56.400Z,,129,open source,open source,"[{'name': 'open source', 'locale': 'en'}]"
1932,,3323,2017-11-21T15:18:43.227Z,2020-03-30T16:20:19.864Z,,2,open hardware,open hardware,"[{'name': 'open hardware', 'locale': 'en'}]"
8157,when some resource is more difficult to obtain for some groups or people than it is for others.,3323,2021-01-28T17:05:34.628Z,2021-01-28T17:45:32.802Z,,1,access inequality,access inequality,"[{'name': 'access inequality', 'locale': 'en'}]"
3939,lack of fairness or justice.,5209,2019-09-25T14:32:20.876Z,2020-08-22T12:56:59.739Z,,51,inequality,inequality,"[{'name': 'inequality', 'locale': 'en'}, {'name': 'nierówność', 'locale': 'pl'}, {'name': 'nerovnost', 'locale': 'cs'}]"
8156,systematically examining the reasons why something has happened,3323,2021-01-28T17:05:10.222Z,2021-01-28T17:45:44.694Z,,1,researching causal factors,researching causal factors,"[{'name': 'researching causal factors', 'locale': 'en'}]"
8155,"protecting, usually a person, from harm",3323,2021-01-28T17:04:59.889Z,2021-01-28T17:45:51.528Z,,1,safeguarding,safeguarding,"[{'name': 'safeguarding', 'locale': 'en'}]"
