id,description,creator_id,created_at,updated_at,ancestry,annotations_count,name,name_with_path,names
781,,3323,2017-09-05T16:09:55.294Z,2020-03-30T16:17:35.010Z,,18,empathy,empathy,"[{'name': 'empathy', 'locale': 'en'}]"
3418,,4794,2019-03-21T10:40:17.501Z,2020-03-30T16:21:34.355Z,,1,Jungle,Jungle,"[{'name': 'Jungle', 'locale': 'en'}]"
3417,,3323,2019-03-21T10:01:08.072Z,2020-06-09T13:19:58.485Z,,13,accessibility,accessibility,"[{'name': 'accessibility', 'locale': 'en'}]"
3416,,3323,2019-03-21T09:04:31.686Z,2020-03-30T16:21:34.263Z,,1,depression,depression,"[{'name': 'depression', 'locale': 'en'}]"
3415,,3323,2019-03-21T09:04:23.996Z,2020-03-30T16:21:34.216Z,,3,mental health,mental health,"[{'name': 'mental health', 'locale': 'en'}]"
3414,,3323,2019-03-21T09:01:37.218Z,2020-03-30T16:21:34.168Z,,1,spiritual well-being,spiritual well-being,"[{'name': 'spiritual well-being', 'locale': 'en'}]"
3902,,4,2019-09-17T09:52:31.933Z,2020-03-30T16:22:04.924Z,,1,spiritual well-being,spiritual well-being,"[{'name': 'spiritual well-being', 'locale': 'en'}]"
1074,,3323,2017-09-05T16:09:56.265Z,2020-03-30T16:18:04.320Z,,55,legality,legality,"[{'name': 'legality', 'locale': 'en'}]"
1150,,3323,2017-09-05T16:09:56.530Z,2020-03-30T16:18:08.326Z,,110,migration,migration,"[{'name': 'migration', 'locale': 'en'}]"
3292,,4155,2018-08-03T20:19:02.793Z,2020-03-30T16:21:28.272Z,,6,learning environment,learning environment,"[{'name': 'learning environment', 'locale': 'en'}]"
3208,,4155,2018-07-28T01:44:59.390Z,2020-03-30T16:21:23.859Z,,9,organizing events,organizing events,"[{'name': 'organizing events', 'locale': 'en'}]"
2886,,4155,2018-05-21T15:19:20.652Z,2020-03-30T16:21:06.943Z,,35,co-working space,co-working space,"[{'name': 'co-working space', 'locale': 'en'}]"
2884,,4155,2018-05-21T15:18:08.149Z,2020-03-30T16:21:06.850Z,,13,building networks,building networks,"[{'name': 'building networks', 'locale': 'en'}]"
3016,,4155,2018-06-21T18:56:02.755Z,2020-03-30T16:21:13.977Z,,2,accommodate diversity,accommodate diversity,"[{'name': 'accommodate diversity', 'locale': 'en'}]"
3049,,4155,2018-06-27T07:47:22.507Z,2020-03-30T16:21:15.564Z,,7,financial sustainability,financial sustainability,"[{'name': 'financial sustainability', 'locale': 'en'}]"
3201,,4155,2018-07-27T23:41:31.995Z,2020-03-30T16:21:23.524Z,,13,co-living,co-living,"[{'name': 'co-living', 'locale': 'en'}]"
2940,,4155,2018-05-23T09:33:34.599Z,2020-03-30T16:21:09.563Z,,54,models,models,"[{'name': 'models', 'locale': 'en'}]"
3235,,4155,2018-07-29T08:56:12.324Z,2020-03-30T16:21:25.165Z,,31,sharing knowledge,sharing knowledge,"[{'name': 'sharing knowledge', 'locale': 'en'}]"
3344,,4155,2018-08-09T12:24:57.098Z,2020-03-30T16:21:30.762Z,,9,improve skills,improve skills,"[{'name': 'improve skills', 'locale': 'en'}]"
3305,,4155,2018-08-03T22:29:34.294Z,2020-03-30T16:21:28.898Z,,14,volunteering,volunteering,"[{'name': 'volunteering', 'locale': 'en'}]"
2956,,4155,2018-06-01T21:56:33.692Z,2020-03-30T16:21:10.377Z,,47,improve community,improve community,"[{'name': 'improve community', 'locale': 'en'}]"
3152,,4155,2018-07-17T11:33:20.678Z,2020-03-30T16:21:21.132Z,,4,healthy food,healthy food,"[{'name': 'healthy food', 'locale': 'en'}]"
3081,,4155,2018-07-08T21:02:37.202Z,2020-03-30T16:21:17.096Z,,34,cost effective,cost effective,"[{'name': 'cost effective', 'locale': 'en'}]"
2959,,4155,2018-06-01T22:01:42.261Z,2020-03-30T16:21:10.539Z,,3,bio hacking,bio hacking,"[{'name': 'bio hacking', 'locale': 'en'}]"
3321,,4155,2018-08-05T09:35:29.803Z,2020-03-30T16:21:29.646Z,,5,producing insulin,producing insulin,"[{'name': 'producing insulin', 'locale': 'en'}]"
3169,,4155,2018-07-17T17:19:25.122Z,2020-03-30T16:21:21.998Z,,2,suicide,suicide,"[{'name': 'suicide', 'locale': 'en'}]"
2976,,4155,2018-06-17T19:33:29.518Z,2020-03-30T16:21:11.417Z,,6,aid to refugees,aid to refugees,"[{'name': 'aid to refugees', 'locale': 'en'}]"
3023,,4155,2018-06-21T20:40:54.801Z,2020-03-30T16:21:14.305Z,,3,sugar consumption and diabetes,sugar consumption and diabetes,"[{'name': 'sugar consumption and diabetes', 'locale': 'en'}]"
3121,,4155,2018-07-16T15:17:16.934Z,2020-03-30T16:21:19.201Z,,28,community health,community health,"[{'name': 'community health', 'locale': 'en'}]"
2965,,4155,2018-06-01T22:12:46.118Z,2020-03-30T16:21:10.847Z,,27,supporting community,supporting community,"[{'name': 'supporting community', 'locale': 'en'}]"
3087,,4155,2018-07-15T18:02:35.345Z,2020-03-30T16:21:17.428Z,,8,funding problems,funding problems,"[{'name': 'funding problems', 'locale': 'en'}]"
3262,,4155,2018-07-31T22:28:05.689Z,2020-03-30T16:21:26.494Z,,8,people with disabilities,people with disabilities,"[{'name': 'people with disabilities', 'locale': 'en'}]"
3211,,4155,2018-07-28T10:52:28.795Z,2020-03-30T16:21:24.025Z,,26,education,education,"[{'name': 'education', 'locale': 'en'}]"
3106,,4155,2018-07-15T20:17:05.546Z,2020-03-30T16:21:18.383Z,,5,storytelling,storytelling,"[{'name': 'storytelling', 'locale': 'en'}]"
3190,,4155,2018-07-17T20:01:21.099Z,2020-03-30T16:21:23.006Z,,5,application,application,"[{'name': 'application', 'locale': 'en'}]"
3299,,4155,2018-08-03T20:41:40.320Z,2020-03-30T16:21:28.607Z,,7,motivation,motivation,"[{'name': 'motivation', 'locale': 'en'}]"
2882,,4155,2018-05-21T11:10:43.169Z,2020-03-30T16:21:06.758Z,,13,origin of idea,origin of idea,"[{'name': 'origin of idea', 'locale': 'en'}]"
2974,,4155,2018-06-17T19:31:58.065Z,2020-03-30T16:21:11.314Z,,7,aspirations,aspirations,"[{'name': 'aspirations', 'locale': 'en'}]"
3247,,4155,2018-07-29T21:44:23.474Z,2020-03-30T16:21:25.744Z,,20,funding,funding,"[{'name': 'funding', 'locale': 'en'}]"
3050,,4155,2018-06-27T07:49:38.954Z,2020-03-30T16:21:15.611Z,,13,common online platform,common online platform,"[{'name': 'common online platform', 'locale': 'en'}]"
3265,,4155,2018-07-31T23:01:51.608Z,2020-03-30T16:21:26.638Z,,6,language,language,"[{'name': 'language', 'locale': 'en'}]"
3316,,4155,2018-08-03T23:50:15.052Z,2020-03-30T16:21:29.416Z,,2,international reach,international reach,"[{'name': 'international reach', 'locale': 'en'}]"
3315,,4155,2018-08-03T23:50:00.288Z,2020-03-30T16:21:29.369Z,,1,niche,niche,"[{'name': 'niche', 'locale': 'en'}]"
2893,,4155,2018-05-21T15:37:29.005Z,2020-03-30T16:21:07.281Z,,5,advantages,advantages,"[{'name': 'advantages', 'locale': 'en'}]"
3118,,4155,2018-07-15T21:14:01.579Z,2020-03-30T16:21:19.032Z,,40,obstacles,obstacles,"[{'name': 'obstacles', 'locale': 'en'}]"
3024,,4155,2018-06-21T20:41:20.613Z,2020-03-30T16:21:14.352Z,,8,lack of initiative,lack of initiative,"[{'name': 'lack of initiative', 'locale': 'en'}]"
3098,,4155,2018-07-15T19:27:49.573Z,2020-03-30T16:21:17.973Z,,8,transportation,transportation,"[{'name': 'transportation', 'locale': 'en'}]"
2937,,4155,2018-05-23T09:28:39.185Z,2020-03-30T16:21:09.425Z,,6,cycling as an alternative,cycling as an alternative,"[{'name': 'cycling as an alternative', 'locale': 'en'}]"
3281,,4155,2018-08-02T21:27:26.162Z,2020-03-30T16:21:27.704Z,,1,role models,role models,"[{'name': 'role models', 'locale': 'en'}]"
1901,,4155,2017-11-16T20:49:42.499Z,2020-03-30T16:20:18.393Z,,2,school in hospital,school in hospital,"[{'name': 'school in hospital', 'locale': 'en'}]"
1888,,4155,2017-11-16T19:41:48.494Z,2020-03-30T16:20:17.786Z,,15,problem and solution,problem and solution,"[{'name': 'problem and solution', 'locale': 'en'}]"
2911,,4155,2018-05-22T13:05:40.662Z,2020-03-30T16:21:08.177Z,,20,problems,problems,"[{'name': 'problems', 'locale': 'en'}]"
3142,,4155,2018-07-17T10:11:26.227Z,2020-03-30T16:21:20.581Z,,4,marginalization,marginalization,"[{'name': 'marginalization', 'locale': 'en'}]"
3232,,4155,2018-07-28T22:04:05.070Z,2020-03-30T16:21:25.019Z,,7,achievements,achievements,"[{'name': 'achievements', 'locale': 'en'}]"
3138,,4155,2018-07-17T09:29:17.201Z,2020-03-30T16:21:20.323Z,,5,graphic design,graphic design,"[{'name': 'graphic design', 'locale': 'en'}]"
2975,,4155,2018-06-17T19:32:07.919Z,2020-03-30T16:21:11.364Z,,31,passion,passion,"[{'name': 'passion', 'locale': 'en'}]"
3179,,4155,2018-07-17T18:25:43.216Z,2020-03-30T16:21:22.501Z,,8,benefits,benefits,"[{'name': 'benefits', 'locale': 'en'}]"
3261,,4155,2018-07-31T22:26:39.418Z,2020-03-30T16:21:26.446Z,,2,social network,social network,"[{'name': 'social network', 'locale': 'en'}]"
3132,,4155,2018-07-16T23:33:34.433Z,2020-03-30T16:21:19.984Z,,1,law enforcement,law enforcement,"[{'name': 'law enforcement', 'locale': 'en'}]"
2947,,4155,2018-05-26T13:02:07.908Z,2020-03-30T16:21:09.899Z,,18,authorization,authorization,"[{'name': 'authorization', 'locale': 'en'}]"
3099,,4155,2018-07-15T19:28:10.579Z,2020-03-30T16:21:18.023Z,,9,housing,housing,"[{'name': 'housing', 'locale': 'en'}]"
3097,,4155,2018-07-15T19:27:30.173Z,2020-03-30T16:21:17.922Z,,2,sewage,sewage,"[{'name': 'sewage', 'locale': 'en'}]"
2953,,4155,2018-06-01T21:51:33.919Z,2020-03-30T16:21:10.223Z,,6,clean water,clean water,"[{'name': 'clean water', 'locale': 'en'}]"
3094,,4155,2018-07-15T18:58:25.593Z,2020-03-30T16:21:17.769Z,,7,wind,wind,"[{'name': 'wind', 'locale': 'en'}]"
3093,,4155,2018-07-15T18:58:20.669Z,2020-03-30T16:21:17.717Z,,8,solar energy,solar energy,"[{'name': 'solar energy', 'locale': 'en'}]"
3092,,4155,2018-07-15T18:57:55.590Z,2020-03-30T16:21:17.666Z,,9,finding resources,finding resources,"[{'name': 'finding resources', 'locale': 'en'}]"
3101,,4155,2018-07-15T19:41:20.669Z,2020-03-30T16:21:18.123Z,,3,code of conduct,code of conduct,"[{'name': 'code of conduct', 'locale': 'en'}]"
3091,,4155,2018-07-15T18:57:33.705Z,2020-03-30T16:21:17.618Z,,6,criteria of selection,criteria of selection,"[{'name': 'criteria of selection', 'locale': 'en'}]"
3029,,4155,2018-06-21T20:49:09.429Z,2020-03-30T16:21:14.594Z,,12,solution for unemployment,solution for unemployment,"[{'name': 'solution for unemployment', 'locale': 'en'}]"
3131,,4155,2018-07-16T23:16:09.485Z,2020-03-30T16:21:19.931Z,,3,tourism,tourism,"[{'name': 'tourism', 'locale': 'en'}]"
3100,,4155,2018-07-15T19:28:58.091Z,2020-03-30T16:21:18.073Z,,7,eco-friendly,eco-friendly,"[{'name': 'eco-friendly', 'locale': 'en'}]"
1894,,4155,2017-11-16T19:49:02.285Z,2020-03-30T16:20:18.065Z,,14,aspiring to protect the environment,aspiring to protect the environment,"[{'name': 'aspiring to protect the environment', 'locale': 'en'}]"
2991,,4155,2018-06-17T20:49:23.064Z,2020-03-30T16:21:12.790Z,,5,finding a community,finding a community,"[{'name': 'finding a community', 'locale': 'en'}]"
3130,,4155,2018-07-16T23:02:58.639Z,2020-03-30T16:21:19.874Z,,1,nature vs humans,nature vs humans,"[{'name': 'nature vs humans', 'locale': 'en'}]"
3129,,4155,2018-07-16T21:24:07.246Z,2020-03-30T16:21:19.817Z,,2,climate change solution,climate change solution,"[{'name': 'climate change solution', 'locale': 'en'}]"
3128,,4155,2018-07-16T21:22:57.861Z,2020-03-30T16:21:19.676Z,,2,ecological restoration,ecological restoration,"[{'name': 'ecological restoration', 'locale': 'en'}]"
3127,,4155,2018-07-16T21:19:55.089Z,2020-03-30T16:21:19.569Z,,1,ecological guilt,ecological guilt,"[{'name': 'ecological guilt', 'locale': 'en'}]"
