id,version,text,quote,uri,created_at,updated_at,post_id,creator_id,type,shape,units,geometry,src,ext,container,start,end,topic_id,post_creator_id,code_id
29283,v1.0,,"Langfristig hoffe ich, dass die supra- und internationale Organisationen wie die EU infolge der Krise gestärkt werden: Nichts hat so klar gezeigt, dass Nationalismen globale Probleme wie einen Virus nicht bekämpfen können.",/post/91648,2021-02-18T11:32:45.158Z,2021-02-18T11:32:45.158Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,8391
29282,v1.0,,"Langfristig hoffe ich, dass die supra- und internationale Organisationen wie die EU infolge der Krise gestärkt werden: Nichts hat so klar gezeigt, dass Nationalismen globale Probleme wie einen Virus nicht bekämpfen können.",/post/91648,2021-02-18T11:32:45.067Z,2021-02-18T11:32:45.067Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,8368
29281,v1.0,,"Langfristig hoffe ich, dass die supra- und internationale Organisationen wie die EU infolge der Krise gestärkt werden: Nichts hat so klar gezeigt, dass Nationalismen globale Probleme wie einen Virus nicht bekämpfen können.",/post/91648,2021-02-18T11:32:45.060Z,2021-02-18T11:32:45.060Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,8387
29280,v1.0,,"Langfristig hoffe ich, dass die supra- und internationale Organisationen wie die EU infolge der Krise gestärkt werden: Nichts hat so klar gezeigt, dass Nationalismen globale Probleme wie einen Virus nicht bekämpfen können.",/post/91648,2021-02-18T11:32:44.910Z,2021-02-18T11:32:44.910Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,4215
29279,v1.0,,"Langfristig hoffe ich, dass die supra- und internationale Organisationen wie die EU infolge der Krise gestärkt werden: Nichts hat so klar gezeigt, dass Nationalismen globale Probleme wie einen Virus nicht bekämpfen können.",/post/91648,2021-02-18T11:32:44.906Z,2021-02-18T11:32:44.906Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,5156
29278,v1.0,,"Ich hoffe sehr, dass sich das nicht in eine Welle weiterer Grenzschließungen wie im März/April 2020 ausweitet.",/post/91648,2021-02-18T11:31:39.075Z,2021-02-18T11:31:39.075Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,7253
29277,v1.0,,"Heute habe ich erfahren, dass an den Grenzen zu Tschechien und Österreich inzwischen wieder kontrolliert wird - wegen der Virusmutationen.",/post/91648,2021-02-18T11:31:25.286Z,2021-02-18T11:31:25.286Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,8390
29276,v1.0,,"Heute habe ich erfahren, dass an den Grenzen zu Tschechien und Österreich inzwischen wieder kontrolliert wird - wegen der Virusmutationen.",/post/91648,2021-02-18T11:31:25.185Z,2021-02-18T11:31:25.185Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,8383
29275,v1.0,,"Heute habe ich erfahren, dass an den Grenzen zu Tschechien und Österreich inzwischen wieder kontrolliert wird - wegen der Virusmutationen.",/post/91648,2021-02-18T11:31:25.134Z,2021-02-18T11:31:25.134Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,77
29274,v1.0,,"Heute habe ich erfahren, dass an den Grenzen zu Tschechien und Österreich inzwischen wieder kontrolliert wird - wegen der Virusmutationen.",/post/91648,2021-02-18T11:31:25.041Z,2021-02-18T11:31:25.041Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,7253
29273,v1.0,,"Daher finde ich es eigentlich auch gut, dass Deutschland als Staat sich einigermaßen solidarisch mit den kleineren Nachbarländern gezeigt hat und die Beschaffung des Impfstoffs an supranationale Organe weitergereicht hat - selbst wenn es damit zu Verzögerungen beim Impfen der deutschen Bevölkerung von einigen Wochen gegeben hat/gibt.",/post/91648,2021-02-18T11:30:42.194Z,2021-02-18T11:30:42.194Z,91648,4794,AnnotatorStore::TextAnnotation,,pixel,,,,,,,14741,4977,8312
