id,description,creator_id,created_at,updated_at,ancestry,annotations_count,name,name_with_path,names
8391,,4794,2021-02-18T11:32:45.066Z,2021-02-18T11:32:45.066Z,,1,global problems,global problems,"[{'name': 'global problems', 'locale': 'de'}]"
8368,,4794,2021-02-18T11:07:20.626Z,2021-02-21T11:51:32.962Z,3425/794,4,EU response,Europe → EU → EU response,"[{'name': 'EU response', 'locale': 'de'}, {'name': 'odpowiedź UE', 'locale': 'pl'}]"
8387,,4794,2021-02-18T11:28:33.390Z,2021-02-18T11:28:33.390Z,,3,international solidarity,international solidarity,"[{'name': 'international solidarity', 'locale': 'de'}]"
4215,,4779,2019-10-03T12:32:05.016Z,2020-11-20T08:30:09.822Z,,31,nationalism,nationalism,"[{'name': 'nationalism', 'locale': 'en'}, {'name': 'nacjonalizm', 'locale': 'pl'}, {'name': 'nacionalismus', 'locale': 'cs'}]"
5156,code that I am using to refer to coronavirus -- we will need to standardise this,3323,2020-05-12T09:25:25.869Z,2020-08-22T13:00:57.248Z,,91,COVID-19,COVID-19,"[{'name': 'COVID-19', 'locale': 'en'}, {'name': 'COVID-19', 'locale': 'pl'}, {'name': 'COVID-19', 'locale': 'cs'}]"
7253,the inability to move from country to country because the state has restricted movement across country lines,3323,2020-09-01T13:49:11.507Z,2020-09-01T14:21:13.680Z,,6,closed borders,closed borders,"[{'name': 'closed borders', 'locale': 'en'}, {'name': 'zamknięte granice', 'locale': 'pl'}, {'name': 'zavření hranic', 'locale': 'cs'}]"
8390,,4794,2021-02-18T11:31:25.165Z,2021-02-18T11:31:25.165Z,,1,Czech Republic,Czech Republic,"[{'name': 'Czech Republic', 'locale': 'de'}]"
8383,,4794,2021-02-18T11:24:34.591Z,2021-02-18T11:24:34.591Z,,2,mutation,mutation,"[{'name': 'mutation', 'locale': 'de'}]"
77,,1974,2017-09-05T16:09:53.075Z,2020-03-30T16:16:43.185Z,,2,austria,austria,"[{'name': 'austria', 'locale': 'en'}]"
8312,,4794,2021-02-17T15:52:07.664Z,2021-02-17T15:52:07.664Z,,2,delay,delay,"[{'name': 'delay', 'locale': 'de'}]"
1816,,3323,2017-09-05T16:09:58.903Z,2020-03-30T16:20:14.276Z,,2,vaccinations,vaccinations,"[{'name': 'vaccinations', 'locale': 'en'}]"
3535,see thread “Germany introduces”,2915,2019-04-05T13:42:23.231Z,2020-08-22T13:07:53.554Z,,30,Germany,Germany,"[{'name': 'Germany', 'locale': 'en'}, {'name': 'Niemcy', 'locale': 'pl'}, {'name': 'Německo', 'locale': 'cs'}]"
8389,,4794,2021-02-18T11:29:00.877Z,2021-02-18T11:29:00.877Z,,1,vaccine nationalism,vaccine nationalism,"[{'name': 'vaccine nationalism', 'locale': 'de'}]"
8388,,4794,2021-02-18T11:29:00.876Z,2021-02-18T11:29:00.876Z,,1,vaccine geopolitics,vaccine geopolitics,"[{'name': 'vaccine geopolitics', 'locale': 'de'}]"
8180,,4794,2021-02-11T13:56:22.138Z,2021-02-11T13:56:22.138Z,,85,Impact of COVID-19,Impact of COVID-19,"[{'name': 'Impact of COVID-19', 'locale': 'de'}]"
8386,,4794,2021-02-18T11:27:40.284Z,2021-02-21T14:00:58.405Z,5161,1,emotional support,*emotions → emotional support,"[{'name': 'emotional support', 'locale': 'de'}, {'name': 'wsparcie emocjonalne', 'locale': 'pl'}]"
5152,"e.g. consulting, work that does not tie you to one particular company.",3323,2020-05-12T09:22:27.310Z,2020-09-14T14:36:58.608Z,6136,25,freelance work,work → freelance work,"[{'name': 'freelance work', 'locale': 'en'}]"
6029,"measures of a state or government that are aiming to support someone (e.g. group of people), or aiming to improve situation or chances",6339,2020-07-11T09:41:51.292Z,2020-10-23T13:34:10.872Z,5412,16,state support,institutional support → state support,"[{'name': 'state support', 'locale': 'en'}, {'name': 'wsparcie państwa', 'locale': 'pl'}, {'name': 'státní podpoa', 'locale': 'cs'}]"
8385,,4794,2021-02-18T11:26:53.589Z,2021-02-18T11:26:53.589Z,,1,continuation,continuation,"[{'name': 'continuation', 'locale': 'de'}]"
5475,"Covid-19, countries telling people to stay at home and only leave for specific and limited reasons",3323,2020-06-04T15:38:53.955Z,2020-08-22T12:56:33.378Z,,20,lockdown,lockdown,"[{'name': 'lockdown', 'locale': 'en'}, {'name': 'lockdown', 'locale': 'pl'}, {'name': 'uzavření / lockdown', 'locale': 'cs'}]"
8382,,4794,2021-02-18T11:19:01.233Z,2021-02-18T11:19:01.233Z,,3,musician,musician,"[{'name': 'musician', 'locale': 'de'}]"
8384,,4794,2021-02-18T11:25:12.385Z,2021-02-18T11:25:12.385Z,,1,lack of vaccinations,lack of vaccinations,"[{'name': 'lack of vaccinations', 'locale': 'de'}]"
7798,when a reply to a crisis or an issue happens later than it should ,3323,2020-10-19T11:36:51.660Z,2020-10-19T11:40:26.878Z,,4,delayed response,delayed response,"[{'name': 'delayed response', 'locale': 'en'}]"
8370,,4794,2021-02-18T11:07:43.603Z,2021-02-18T11:07:43.603Z,,3,lockdown light,lockdown light,"[{'name': 'lockdown light', 'locale': 'de'}]"
8251,,4794,2021-02-15T18:58:30.115Z,2021-02-15T18:58:30.115Z,,2,intensification of problems,intensification of problems,"[{'name': 'intensification of problems', 'locale': 'de'}]"
7856,frequency of occurrence of new cases of infection within a defined population within a specified time frame,3323,2020-10-20T14:18:20.842Z,2020-10-23T10:34:04.359Z,,3,infection rate,infection rate,"[{'name': 'infection rate', 'locale': 'en'}, {'name': 'wskaźnik infekcji', 'locale': 'pl'}, {'name': 'míra nákazy (infekce)', 'locale': 'cs'}]"
3193,Suggestion: the feeling of being annoyed,4155,2018-07-17T20:11:48.080Z,2021-02-21T14:09:41.844Z,5161,16,*frustration,*emotions → *frustration,"[{'name': '*frustration', 'locale': 'en'}, {'name': 'frustracja', 'locale': 'pl'}, {'name': 'frustrace', 'locale': 'cs'}]"
1632,,1974,2017-09-05T16:09:58.257Z,2020-10-23T00:12:48.984Z,,30,stress,stress,"[{'name': 'stress', 'locale': 'en'}, {'name': 'stres', 'locale': 'pl'}, {'name': 'stres', 'locale': 'cs'}]"
5671,"one of the main problems of the precaryat, lack of long-term cotracts, fear of losing one's job,",6484,2020-06-24T19:23:31.764Z,2020-08-22T12:57:11.004Z,,10,job insecurity,job insecurity,"[{'name': 'job insecurity', 'locale': 'en'}, {'name': 'niepewność zatrudnienia', 'locale': 'pl'}, {'name': 'nejistota pracovního místa', 'locale': 'cs'}]"
8381,,4794,2021-02-18T11:19:01.216Z,2021-02-18T11:19:01.216Z,,1,no work,no work,"[{'name': 'no work', 'locale': 'de'}]"
8380,,4794,2021-02-18T11:18:32.661Z,2021-02-18T11:18:32.661Z,,1,fixed income,fixed income,"[{'name': 'fixed income', 'locale': 'de'}]"
5326,A working style that allows professionals to work outside of a traditional office environment,5059,2020-05-26T15:03:37.661Z,2020-09-14T15:22:08.630Z,6136,77,working remotely,work → working remotely,"[{'name': 'working remotely', 'locale': 'en'}]"
8379,,4794,2021-02-18T11:18:32.543Z,2021-02-18T11:18:32.543Z,,1,secure emplyment,secure emplyment,"[{'name': 'secure emplyment', 'locale': 'de'}]"
6843,state of having paid work.,4825,2020-08-22T13:07:57.839Z,2020-08-22T13:07:57.839Z,,25,Employment,Employment,"[{'name': 'Employment', 'locale': 'en'}]"
8377,,4794,2021-02-18T11:17:29.377Z,2021-02-18T11:17:29.377Z,,1,colleagues,colleagues,"[{'name': 'colleagues', 'locale': 'de'}]"
8378,,4794,2021-02-18T11:17:29.377Z,2021-02-18T11:17:29.377Z,,1,infect,infect,"[{'name': 'infect', 'locale': 'de'}]"
8376,,4794,2021-02-18T11:16:45.723Z,2021-02-18T11:16:45.723Z,,1,friends,friends,"[{'name': 'friends', 'locale': 'de'}]"
8375,,4794,2021-02-18T11:16:45.722Z,2021-02-18T11:16:45.722Z,,1,bulk buying,bulk buying,"[{'name': 'bulk buying', 'locale': 'de'}]"
8374,,4794,2021-02-18T11:16:45.708Z,2021-02-18T11:16:45.708Z,,1,lack of contact,lack of contact,"[{'name': 'lack of contact', 'locale': 'de'}]"
