post_number,post_id,created_at,topic_id,reply_count,reads,readers_count,incoming_link_count,quote_count,like_count,score,reply_to_post_id,source_username,target_username,text
1,79675,2020-06-29T09:51:17.582Z,13988,0,12,11,2,0,0,42.4,79675,anon1297315084,anon1297315084,"https://d1ehvogakajzfe.cloudfront.net/cmsAssets/articles/HowtoCode_hero.jpg?mtime=20181030144926

@anon2688049416 @anon848306435 @anon2635169776 @anon3069268448 @anon1544472328

Let's use this thread to discuss any and all coding in POPREBEL from here on out. If you haven't seen it yet, I've also made a [POPREBEL Coding Wiki](https://edgeryders.eu/t/poprebel-ethnographic-coding-wiki/13975/5) for us to use and build upon. If you have specific comments on the wiki itself, feel free to comment on that thread instead. 

An update from me: right now I am done with my coding sprint and am finishing up my coding categories -- this should make it much easier to navigate my codes and apply them to your datasets. I'm in the process of using these to refine and merge my own codes before doing a final code review on each of your codes. Looking forward to seeing all of yours as well! 

As a reminder, we are going to finish this coding sprint by **July 1st.** Please finish coding by this date (including creating your categories) and take til *Friday this week* to comment on others' codebooks and especially look out for overlapping codes, so we can merge codes and have clean codebooks before I initiate the SSNA visualisation. If you need more time, please say so ASAP. 

We'll then schedule a call for late next week to discuss the visualisation and plan the writing of the update. 

Thanks and happy coding!"
2,79711,2020-06-29T15:07:41.368Z,13988,0,10,9,1,0,0,7.0,79675,anon2635169776,anon1297315084,"Sounds good. It is 11 am (Monday) here and I am going to start coding. At 2 pm, anon3069268448ek and I have our next meeting. We will prepare as much as we can for July 1. My son and his fiancee are getting married on July 1, so I will disappear for a day, but on Thursday will return to coding and studying other's codes."
3,79718,2020-06-29T16:37:20.568Z,13988,2,10,9,1,0,0,17.0,79675,anon2635169776,anon1297315084,"@anon1297315084 Hello there, I cannot code for some reason. And I do not see my previous work in any of the texts that I coded before. Although the system still has my codes, I can see the annotations, etc. But the texts do not show the highlighted and coded fragments. J"
4,79719,2020-06-29T16:38:43.347Z,13988,1,10,9,1,0,0,12.0,79718,anon1297315084,anon2635169776,"Please tag @anon3650186192 in technical questions :)

I'm also not able to use the merge function right now -- when I try to click on the drop down to select a code to merge, it won't open up."
5,79722,2020-06-29T17:06:35.976Z,13988,1,8,7,1,0,0,11.6,79675,anon2635169776,anon1297315084,Many thanks @anon1297315084. Got it. @anon3650186192: please help!  J
6,79727,2020-06-29T17:34:07.674Z,13988,3,8,7,1,0,0,21.6,79722,anon3069268448,anon2635169776,"Same here. I don't see any of my previous codes within texts (they're in the system though) and I cannot add any codes/annotations either (I can highlight the text but no window appears, like it used to)."
7,79728,2020-06-29T17:39:14.955Z,13988,0,8,7,1,0,0,6.6,79727,anon1297315084,anon3069268448,"@anon2338270226, any ideas? We are all having trouble."
8,79731,2020-06-29T17:52:47.266Z,13988,1,8,7,1,0,0,11.6,79727,anon1297315084,anon3069268448,"@anon3069268448, if you feel comfortable, please upload a photo of yourself so your avatar isn't blank :)"
9,79738,2020-06-30T06:14:55.124Z,13988,1,8,7,1,0,0,11.6,79731,anon3069268448,anon1297315084,Will do!
10,79739,2020-06-30T06:16:36.318Z,13988,1,8,7,1,0,0,11.6,79738,anon3069268448,anon3069268448,"Hmmm....am I doing something wrong?
![image|690x387](upload://o0W4hxqENsRwvE91oABZsAma74q.png)"
